antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'choice'}),frozenset({'awards'}),0.005289929,0.024089522,0.004028484,0.761538462,31.61285083,0.003901052,4.092527812,0.973517131
frozenset({'music'}),frozenset({'awards'}),0.009888098,0.024089522,0.005615463,0.567901235,23.57461628,0.005377263,2.258535678,0.967144715
frozenset({'barack'}),frozenset({'obama'}),0.009318413,0.01871821,0.00716175,0.768558952,41.05942662,0.006987326,4.239877925,0.984822035
frozenset({'health'}),frozenset({'care'}),0.016032553,0.011881994,0.009074262,0.565989848,47.63424831,0.008883764,2.276716342,0.994958425
frozenset({'care'}),frozenset({'health'}),0.011881994,0.016032553,0.009074262,0.76369863,47.63424831,0.008883764,4.164036151,0.990779133
frozenset({'carpet'}),frozenset({'red'}),0.00809766,0.009847406,0.008056968,0.994974874,101.0392873,0.007977228,197.0403662,0.998185829
frozenset({'red'}),frozenset({'carpet'}),0.009847406,0.00809766,0.008056968,0.818181818,101.0392873,0.007977228,5.455462869,0.999949771
frozenset({'hillary'}),frozenset({'clinton'}),0.00508647,0.006429298,0.004069176,0.8,124.4303797,0.004036474,4.96785351,0.997034765
frozenset({'clinton'}),frozenset({'hillary'}),0.006429298,0.00508647,0.004069176,0.632911392,124.4303797,0.004036474,2.710281685,0.998382275
frozenset({'trump'}),frozenset({'donald'}),0.010539166,0.006592065,0.005371312,0.50965251,77.31302731,0.005301837,2.025926418,0.997579222
frozenset({'donald'}),frozenset({'trump'}),0.006592065,0.010539166,0.005371312,0.814814815,77.31302731,0.005301837,5.343088505,0.993615548
frozenset({'met'}),frozenset({'gala'}),0.006510682,0.005574771,0.004720244,0.725,130.0501825,0.004683949,3.616091741,0.998813618
frozenset({'gala'}),frozenset({'met'}),0.005574771,0.006510682,0.004720244,0.846715328,130.0501825,0.004683949,6.481335077,0.997873577
frozenset({'gomez'}),frozenset({'selena'}),0.006347915,0.008626653,0.006307223,0.993589744,115.1767356,0.006252462,154.6542421,0.997650692
frozenset({'selena'}),frozenset({'gomez'}),0.008626653,0.006347915,0.006307223,0.731132075,115.1767356,0.006252462,3.695688458,0.99994386
frozenset({'markle'}),frozenset({'harry'}),0.009318413,0.011719227,0.004720244,0.506550218,43.22385978,0.00461104,2.002799089,0.98605308
frozenset({'harry'}),frozenset({'meghan'}),0.011719227,0.01456765,0.006103764,0.520833333,35.7527351,0.005933042,2.056554469,0.983556635
frozenset({'harry'}),frozenset({'prince'}),0.011719227,0.014689725,0.007690743,0.65625,44.67408241,0.00751859,2.866357163,0.989208414
frozenset({'prince'}),frozenset({'harry'}),0.014689725,0.011719227,0.007690743,0.523545706,44.67408241,0.00751859,2.07424046,0.992190665
frozenset({'real'}),frozenset({'housewives'}),0.009440488,0.005167854,0.004923703,0.521551724,100.922312,0.004874916,2.079288811,0.999527415
frozenset({'housewives'}),frozenset({'real'}),0.005167854,0.009440488,0.004923703,0.952755906,100.922312,0.004874916,20.966843,0.995234615
frozenset({'kylie'}),frozenset({'jenner'}),0.009033571,0.012695829,0.007080366,0.783783784,61.73553361,0.006965678,4.56628179,0.992770132
frozenset({'jenner'}),frozenset({'kylie'}),0.012695829,0.009033571,0.007080366,0.557692308,61.73553361,0.006965678,2.24044584,0.996452666
frozenset({'khloe'}),frozenset({'kardashian'}),0.00716175,0.024008138,0.005900305,0.823863636,34.31601502,0.005728365,5.541115085,0.977862292
frozenset({'kim'}),frozenset({'kardashian'}),0.017456765,0.024008138,0.011841302,0.678321678,28.25382245,0.011422198,3.034061657,0.981744644
frozenset({'kourtney'}),frozenset({'kardashian'}),0.004760936,0.024008138,0.004028484,0.846153846,35.24445893,0.003914183,6.343947101,0.976274727
frozenset({'markle'}),frozenset({'meghan'}),0.009318413,0.01456765,0.00923703,0.991266376,68.04572955,0.009101282,112.8320041,0.994571832
frozenset({'meghan'}),frozenset({'markle'}),0.01456765,0.009318413,0.00923703,0.634078212,68.04572955,0.009101282,2.707358841,0.999869753
frozenset({'markle'}),frozenset({'prince'}),0.009318413,0.014689725,0.005289929,0.56768559,38.64507857,0.005153044,2.279152049,0.98328615
frozenset({'net'}),frozenset({'worth'}),0.006754832,0.008138352,0.006063072,0.897590361,110.2914157,0.006008099,9.685237269,0.99767222
frozenset({'worth'}),frozenset({'net'}),0.008138352,0.006754832,0.006063072,0.745,110.2914157,0.006008099,3.89507909,0.999063844
frozenset({'york'}),frozenset({'new'}),0.005005086,0.046144456,0.005005086,1,21.67107584,0.004774129,inf,0.958653689
frozenset({'royal'}),frozenset({'wedding'}),0.009277721,0.019776195,0.004964395,0.535087719,27.05716194,0.004780917,2.108405919,0.972059708
frozenset({'united'}),frozenset({'states'}),0.010254323,0.017416073,0.009766022,0.952380952,54.68402314,0.009587432,20.63426246,0.991884225
frozenset({'states'}),frozenset({'united'}),0.017416073,0.010254323,0.009766022,0.560747664,54.68402314,0.009587432,2.253250795,0.999113762
frozenset({'swift'}),frozenset({'taylor'}),0.006876907,0.011678535,0.006632757,0.964497041,82.58715956,0.006552445,27.83772126,0.994732262
frozenset({'taylor'}),frozenset({'swift'}),0.011678535,0.006876907,0.006632757,0.567944251,82.58715956,0.006552445,2.298599416,0.999565036
"frozenset({'markle', 'harry'})",frozenset({'meghan'}),0.004720244,0.01456765,0.004720244,1,68.6452514,0.004651481,inf,0.990105891
"frozenset({'harry', 'meghan'})",frozenset({'markle'}),0.006103764,0.009318413,0.004720244,0.773333333,82.98981077,0.004663367,4.37065406,0.994017577
"frozenset({'markle', 'meghan'})",frozenset({'harry'}),0.00923703,0.011719227,0.004720244,0.511013216,43.60468674,0.004611993,2.021078698,0.986176022
frozenset({'markle'}),"frozenset({'harry', 'meghan'})",0.009318413,0.006103764,0.004720244,0.506550218,82.98981077,0.004663367,2.014179098,0.997243051
"frozenset({'markle', 'harry'})",frozenset({'prince'}),0.004720244,0.014689725,0.004638861,0.982758621,66.90108893,0.004569522,57.14799593,0.989724301
"frozenset({'harry', 'prince'})",frozenset({'markle'}),0.007690743,0.009318413,0.004638861,0.603174603,64.72932696,0.004567195,2.496517599,0.992181666
"frozenset({'markle', 'prince'})",frozenset({'harry'}),0.005289929,0.011719227,0.004638861,0.876923077,74.82772436,0.004576867,8.029781282,0.99188296
"frozenset({'harry', 'prince'})",frozenset({'meghan'}),0.007690743,0.01456765,0.005737538,0.746031746,51.21153676,0.005625502,3.880139878,0.988072159
"frozenset({'harry', 'meghan'})",frozenset({'prince'}),0.006103764,0.014689725,0.005737538,0.94,63.99030471,0.005647876,16.42183791,0.99041791
"frozenset({'prince', 'meghan'})",frozenset({'harry'}),0.006388606,0.011719227,0.005737538,0.898089172,76.63382431,0.005662669,9.697505086,0.993296713
"frozenset({'markle', 'prince'})",frozenset({'meghan'}),0.005289929,0.01456765,0.005249237,0.992307692,68.117211,0.005172175,128.1062055,0.990559411
"frozenset({'markle', 'meghan'})",frozenset({'prince'}),0.00923703,0.014689725,0.005249237,0.568281938,38.68567489,0.005113548,2.28230033,0.983232789
"frozenset({'prince', 'meghan'})",frozenset({'markle'}),0.006388606,0.009318413,0.005249237,0.821656051,88.17553473,0.005189705,5.554893184,0.99501575
frozenset({'markle'}),"frozenset({'prince', 'meghan'})",0.009318413,0.006388606,0.005249237,0.563318777,88.17553473,0.005189705,2.275370092,0.997958374
"frozenset({'markle', 'harry', 'prince'})",frozenset({'meghan'}),0.004638861,0.01456765,0.004638861,1,68.6452514,0.004571283,inf,0.990024938
"frozenset({'markle', 'harry', 'meghan'})",frozenset({'prince'}),0.004720244,0.014689725,0.004638861,0.982758621,66.90108893,0.004569522,57.14799593,0.989724301
"frozenset({'harry', 'prince', 'meghan'})",frozenset({'markle'}),0.005737538,0.009318413,0.004638861,0.808510638,86.76484252,0.004585396,5.173559399,0.994178733
"frozenset({'markle', 'prince', 'meghan'})",frozenset({'harry'}),0.005249237,0.011719227,0.004638861,0.88372093,75.40778424,0.004577344,8.499214649,0.991945728
"frozenset({'markle', 'harry'})","frozenset({'prince', 'meghan'})",0.004720244,0.006388606,0.004638861,0.982758621,153.8298924,0.004608705,57.62946083,0.998211113
"frozenset({'harry', 'prince'})","frozenset({'markle', 'meghan'})",0.007690743,0.00923703,0.004638861,0.603174603,65.2996294,0.004567821,2.496722686,0.992317637
"frozenset({'harry', 'meghan'})","frozenset({'markle', 'prince'})",0.006103764,0.005289929,0.004638861,0.76,143.6692308,0.004606572,4.144625297,0.99913807
"frozenset({'markle', 'prince'})","frozenset({'harry', 'meghan'})",0.005289929,0.006103764,0.004638861,0.876923077,143.6692308,0.004606572,8.075406918,0.998320612
"frozenset({'markle', 'meghan'})","frozenset({'harry', 'prince'})",0.00923703,0.007690743,0.004638861,0.502202643,65.2996294,0.004567821,1.993400013,0.99386635
"frozenset({'prince', 'meghan'})","frozenset({'markle', 'harry'})",0.006388606,0.004720244,0.004638861,0.72611465,153.8298924,0.004608705,3.633928411,0.999887199
